instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_LAYERED,16799684.0,2138,0.008902499,0.027345
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_LAYERED,16827003.0,2170,0.008964600,0.028246
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_LAYERED,16930477.0,2162,0.008991100,0.028711
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_LAYERED,16913156.0,2212,0.009130699,0.027803
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_LAYERED,16936254.0,2171,0.008984899,0.027901
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_LAYERED,16950578.0,2187,0.008940699,0.026736
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_LAYERED,17140786.0,2199,0.008896800,0.027632
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_LAYERED,16991877.0,2155,0.009050500,0.029515
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_LAYERED,16864694.0,2162,0.008947799,0.027422
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000636300,0.013974
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000627000,0.013173
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000582600,0.012672
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000585100,0.011319
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000606100,0.01099
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000591400,0.011723
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000588100,0.012139
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000600900,0.010042
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000606100,0.009974
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,0.000606200,0.011039
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED,23377.0,36,0.000071300,0.006602
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP_LAYERED,24193.0,34,0.000072500,0.00693
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP_LAYERED,23296.0,33,0.000071900,0.005499
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP_LAYERED,25835.0,36,0.000072200,0.006071
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP_LAYERED,22889.0,37,0.000070300,0.005926
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP_LAYERED,22600.0,35,0.000072100,0.005725
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP_LAYERED,23255.0,35,0.000070200,0.006184
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP_LAYERED,25154.0,37,0.000072200,0.005958
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP_LAYERED,23844.0,33,0.000070300,0.00557
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP_LAYERED,23294.0,36,0.000072400,0.005405
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED,28985.0,44,0.000090000,0.005355
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP_LAYERED,25895.0,38,0.000084600,0.00489
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP_LAYERED,26227.0,40,0.000087100,0.00479
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP_LAYERED,27859.0,42,0.000086800,0.006459
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP_LAYERED,27906.0,43,0.000089100,0.005819
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP_LAYERED,26908.0,39,0.000085800,0.005743
