instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,0.000007600,0.000007600,0.0000,1,0.00613
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,0.000007900,0.000007900,0.0000,1,0.006614
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,54311911.0,4710,0.031339100,0.031339100,0.0000,1,0.060712
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,27566313.0,3312,0.026274800,0.026274800,0.0000,1,0.054826
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,11486555.0,1720,0.019181500,0.019181500,0.0000,1,0.046587
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6132031.0,878,0.014476300,0.014476300,0.0000,1,0.042476
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3523882.0,437,0.010981300,0.010981300,0.0000,1,0.043808
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1962016.0,178,0.007868000,0.007868000,0.0000,1,0.039114
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1448460.0,90,0.006056500,0.006056500,0.0000,1,0.034598
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1194002.0,47,0.004542500,0.004542500,0.0000,1,0.032525
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1051830.0,20,0.002614300,0.002614300,0.0000,1,0.031661
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1025973.0,15,0.003029800,0.003029800,0.0000,1,0.031763
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,16950869.0,2180,0.013764700,0.013764700,0.0000,1,0.029898
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8596446.0,1486,0.010770601,0.010770601,0.0000,1,0.030268
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,3646827.0,737,0.007749500,0.007749500,0.0000,1,0.025804
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2040540.0,368,0.005707500,0.005707500,0.0000,1,0.020038
