instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54466943.0,4601,0.031944900,0.066763
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54295177.0,4554,0.031794800,0.109841
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54086906.0,4551,0.033009400,0.067611
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16950869.0,2180,0.013823200,0.034148
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16799684.0,2138,0.013759100,0.033161
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16827003.0,2170,0.013759800,0.029494
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16930477.0,2162,0.014107100,0.029177
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16913156.0,2212,0.014020900,0.029899
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16936254.0,2171,0.013544700,0.034146
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16950578.0,2187,0.013667200,0.030686
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,17140786.0,2199,0.013653300,0.030862
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16991877.0,2155,0.013873900,0.031328
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16864694.0,2162,0.013604600,0.034234
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001008800,0.011616
