instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP,16950578.0,2187,0.008107708,0.025473
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP,17140786.0,2199,0.007990707,0.02448
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP,16991877.0,2157,0.008185007,0.026845
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP,16864694.0,2161,0.008177707,0.024646
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000425500,0.012816
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000387500,0.009028
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000377201,0.009948
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000379500,0.010095
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000383400,0.009075
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000373000,0.009859
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000373300,0.011072
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000376701,0.009913
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000374000,0.010898
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,0.000373700,0.009963
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP,23377.0,36,0.000064000,0.007211
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP,24193.0,34,0.000066300,0.006971
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP,23296.0,33,0.000064600,0.006822
