instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_LINEAR,21597558.0,291,0.000563300,0.019325
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_LINEAR,21589031.0,293,0.000572200,0.018184
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_LINEAR,21735926.0,291,0.000558300,0.018513
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_LINEAR,21786474.0,289,0.000657400,0.018702
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_LINEAR,21719572.0,294,0.000598100,0.019026
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_LINEAR,21717393.0,295,0.000569900,0.018106
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_LINEAR,22058958.0,289,0.000568900,0.018518
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_LINEAR,21964277.0,289,0.000605100,0.017955
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_LINEAR,21650969.0,291,0.000575000,0.01853
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LINEAR,68723802.0,1032,0.000190200,0.011269
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_LINEAR,68364692.0,1027,0.000236600,0.009102
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_LINEAR,69197229.0,1045,0.000194000,0.009823
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_LINEAR,69335698.0,1041,0.000202200,0.009894
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_LINEAR,68578035.0,1030,0.000204600,0.010597
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_LINEAR,68579159.0,1034,0.000195600,0.011521
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP_LINEAR,68836166.0,1033,0.000195700,0.012168
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP_LINEAR,69171910.0,1043,0.000202301,0.010765
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP_LINEAR,68821315.0,1035,0.000188700,0.009343
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP_LINEAR,68306982.0,1027,0.000191000,0.011205
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LINEAR,118816.0,2,0.000004300,0.007182
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP_LINEAR,123186.0,2,0.000004800,0.006995
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP_LINEAR,117519.0,2,0.000004700,0.007071
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP_LINEAR,124960.0,2,0.000005300,0.009102
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP_LINEAR,118816.0,2,0.000004800,0.008195
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP_LINEAR,118816.0,2,0.000004900,0.009665
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP_LINEAR,114534.0,2,0.000004300,0.007497
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP_LINEAR,123186.0,2,0.000004500,0.008121
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP_LINEAR,113796.0,2,0.000004500,0.007249
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP_LINEAR,117900.0,2,0.000004600,0.007951
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LINEAR,162056.0,2,0.000005400,0.00741
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP_LINEAR,141954.0,2,0.000005700,0.00689
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP_LINEAR,147733.0,2,0.000005300,0.005205
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP_LINEAR,153886.0,2,0.000005100,0.006468
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP_LINEAR,163115.0,2,0.000005300,0.007423
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP_LINEAR,143410.0,2,0.000005100,0.006617
Instances/Instances 1/ch150_07.gt,149,100.0,86400.0,PTVRP_LINEAR,156854.0,2,0.000005300,0.007356
Instances/Instances 1/ch150_08.gt,149,100.0,86400.0,PTVRP_LINEAR,159259.0,2,0.000005300,0.006853
Instances/Instances 1/ch150_09.gt,149,100.0,86400.0,PTVRP_LINEAR,155151.0,2,0.000005400,0.007042
Instances/Instances 1/ch150_10.gt,149,100.0,86400.0,PTVRP_LINEAR,152102.0,2,0.000005200,0.006579
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_LINEAR,330238545.0,4547,0.003102400,0.060908
Instances/Instances 1/ch71009_02.gt,71008,100.0,86400.0,PTVRP_LINEAR,330894716.0,4558,0.003103001,0.066821
Instances/Instances 1/ch71009_03.gt,71008,100.0,86400.0,PTVRP_LINEAR,329962662.0,4554,0.003383101,0.062559
Instances/Instances 1/ch71009_04.gt,71008,100.0,86400.0,PTVRP_LINEAR,330781727.0,4580,0.002986001,0.060922
Instances/Instances 1/ch71009_05.gt,71008,100.0,86400.0,PTVRP_LINEAR,330213650.0,4542,0.003001400,0.067564
Instances/Instances 1/ch71009_06.gt,71008,100.0,86400.0,PTVRP_LINEAR,330316874.0,4562,0.003085500,0.061227
Instances/Instances 1/ch71009_07.gt,71008,100.0,86400.0,PTVRP_LINEAR,330322319.0,4557,0.003020500,0.063634
Instances/Instances 1/ch71009_08.gt,71008,100.0,86400.0,PTVRP_LINEAR,330630297.0,4560,0.003052500,0.068075
Instances/Instances 1/ch71009_09.gt,71008,100.0,86400.0,PTVRP_LINEAR,330272274.0,4557,0.003020201,0.064222
Instances/Instances 1/ch71009_10.gt,71008,100.0,86400.0,PTVRP_LINEAR,329492206.0,4544,0.003035000,0.067234
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_LINEAR,1468143.0,21,0.000042300,0.009876
Instances/Instances 1/d1291_02.gt,1290,100.0,86400.0,PTVRP_LINEAR,1360756.0,21,0.000041500,0.009828
Instances/Instances 1/d1291_03.gt,1290,100.0,86400.0,PTVRP_LINEAR,1423955.0,22,0.000042000,0.007648
Instances/Instances 1/d1291_04.gt,1290,100.0,86400.0,PTVRP_LINEAR,1381901.0,21,0.000041500,0.006721
Instances/Instances 1/d1291_05.gt,1290,100.0,86400.0,PTVRP_LINEAR,1422092.0,21,0.000042800,0.008463
Instances/Instances 1/d1291_06.gt,1290,100.0,86400.0,PTVRP_LINEAR,1396012.0,21,0.000042000,0.007445
Instances/Instances 1/d1291_07.gt,1290,100.0,86400.0,PTVRP_LINEAR,1399605.0,21,0.000041900,0.008243
Instances/Instances 1/d1291_08.gt,1290,100.0,86400.0,PTVRP_LINEAR,1441794.0,20,0.000043200,0.008469
Instances/Instances 1/d1291_09.gt,1290,100.0,86400.0,PTVRP_LINEAR,1447577.0,20,0.000042300,0.00895
Instances/Instances 1/d1291_10.gt,1290,100.0,86400.0,PTVRP_LINEAR,1430277.0,20,0.000042900,0.008204
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_LINEAR,59384542.0,799,0.000626200,0.016177
Instances/Instances 1/d15112_02.gt,15111,100.0,86400.0,PTVRP_LINEAR,59618478.0,804,0.000637400,0.017806
Instances/Instances 1/d15112_03.gt,15111,100.0,86400.0,PTVRP_LINEAR,59188788.0,792,0.000637100,0.019675
Instances/Instances 1/d15112_04.gt,15111,100.0,86400.0,PTVRP_LINEAR,59565113.0,800,0.000620400,0.018904
Instances/Instances 1/d15112_05.gt,15111,100.0,86400.0,PTVRP_LINEAR,59163423.0,789,0.000646000,0.017494
Instances/Instances 1/d15112_06.gt,15111,100.0,86400.0,PTVRP_LINEAR,59897532.0,799,0.000643100,0.01844
Instances/Instances 1/d15112_07.gt,15111,100.0,86400.0,PTVRP_LINEAR,59506576.0,798,0.000661100,0.021541
Instances/Instances 1/d15112_08.gt,15111,100.0,86400.0,PTVRP_LINEAR,59667692.0,799,0.000723300,0.022003
Instances/Instances 1/d15112_09.gt,15111,100.0,86400.0,PTVRP_LINEAR,59881333.0,806,0.000636300,0.020559
Instances/Instances 1/d15112_10.gt,15111,100.0,86400.0,PTVRP_LINEAR,59157019.0,791,0.000619700,0.018508
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_LINEAR,1731279.0,29,0.000052500,0.010202
Instances/Instances 1/d1655_02.gt,1654,100.0,86400.0,PTVRP_LINEAR,1790050.0,28,0.000052500,0.009626
Instances/Instances 1/d1655_03.gt,1654,100.0,86400.0,PTVRP_LINEAR,1673887.0,31,0.000051200,0.008721
Instances/Instances 1/d1655_04.gt,1654,100.0,86400.0,PTVRP_LINEAR,1770442.0,27,0.000053900,0.006982
Instances/Instances 1/d1655_05.gt,1654,100.0,86400.0,PTVRP_LINEAR,1758553.0,28,0.000053500,0.008886
Instances/Instances 1/d1655_06.gt,1654,100.0,86400.0,PTVRP_LINEAR,1672377.0,30,0.000051900,0.007183
Instances/Instances 1/d1655_07.gt,1654,100.0,86400.0,PTVRP_LINEAR,1711439.0,30,0.000051600,0.008242
Instances/Instances 1/d1655_08.gt,1654,100.0,86400.0,PTVRP_LINEAR,1776296.0,28,0.000053800,0.007474
Instances/Instances 1/d1655_09.gt,1654,100.0,86400.0,PTVRP_LINEAR,1739511.0,29,0.000051700,0.008424
Instances/Instances 1/d1655_10.gt,1654,100.0,86400.0,PTVRP_LINEAR,1776008.0,28,0.000052100,0.007682
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_LINEAR,30452084.0,397,0.000764900,0.018375
Instances/Instances 1/d18512_02.gt,18511,100.0,86400.0,PTVRP_LINEAR,30056863.0,398,0.000763600,0.022566
Instances/Instances 1/d18512_03.gt,18511,100.0,86400.0,PTVRP_LINEAR,30327575.0,402,0.000759500,0.023044
Instances/Instances 1/d18512_04.gt,18511,100.0,86400.0,PTVRP_LINEAR,30268547.0,401,0.000778801,0.021314
Instances/Instances 1/d18512_05.gt,18511,100.0,86400.0,PTVRP_LINEAR,30264852.0,402,0.000766400,0.020525
Instances/Instances 1/d18512_06.gt,18511,100.0,86400.0,PTVRP_LINEAR,30259722.0,402,0.000752500,0.019557
Instances/Instances 1/d18512_07.gt,18511,100.0,86400.0,PTVRP_LINEAR,30092762.0,405,0.000737501,0.021301
Instances/Instances 1/d18512_08.gt,18511,100.0,86400.0,PTVRP_LINEAR,30439606.0,395,0.000758300,0.022764
Instances/Instances 1/d18512_09.gt,18511,100.0,86400.0,PTVRP_LINEAR,30477614.0,406,0.000750600,0.022232
Instances/Instances 1/d18512_10.gt,18511,100.0,86400.0,PTVRP_LINEAR,30436810.0,402,0.000840200,0.022715
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_LINEAR,216430.0,5,0.000006400,0.008863
Instances/Instances 1/d198_02.gt,197,100.0,86400.0,PTVRP_LINEAR,213457.0,5,0.000006900,0.008922
Instances/Instances 1/d198_03.gt,197,100.0,86400.0,PTVRP_LINEAR,260234.0,4,0.000007300,0.007369
Instances/Instances 1/d198_04.gt,197,100.0,86400.0,PTVRP_LINEAR,260636.0,4,0.000007300,0.008158
Instances/Instances 1/d198_05.gt,197,100.0,86400.0,PTVRP_LINEAR,256204.0,4,0.000007700,0.008269
Instances/Instances 1/d198_06.gt,197,100.0,86400.0,PTVRP_LINEAR,247628.0,4,0.000007400,0.010519
