instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54086906.0,4551,0.021935401,0.058491
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16950869.0,2180,0.009986401,0.027515
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16799684.0,2138,0.010037200,0.030405
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16827003.0,2170,0.010068800,0.030812
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16930477.0,2162,0.009899501,0.028018
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16913156.0,2212,0.009928000,0.025439
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16936254.0,2171,0.010059001,0.028518
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16950578.0,2187,0.010058501,0.029861
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,17140786.0,2199,0.009931801,0.025605
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16991877.0,2157,0.009865601,0.027373
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16864694.0,2161,0.010050500,0.028492
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000623700,0.012408
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000617500,0.00955
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000627000,0.009398
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000611300,0.008342
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000635100,0.009004
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000627000,0.008203
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000629100,0.01046
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000612200,0.008374
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000622300,0.00958
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,0.000676100,0.008517
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_CONT_FIX,23377.0,36,0.000069600,0.006493
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP_CONT_FIX,24193.0,34,0.000070400,0.005685
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP_CONT_FIX,23296.0,33,0.000069700,0.006687
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP_CONT_FIX,25835.0,36,0.000070600,0.005085
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP_CONT_FIX,22889.0,37,0.000071400,0.00506
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP_CONT_FIX,22600.0,35,0.000070000,0.006299
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP_CONT_FIX,23255.0,35,0.000069900,0.00564
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP_CONT_FIX,25154.0,37,0.000070100,0.00589
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP_CONT_FIX,23844.0,33,0.000070600,0.005989
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP_CONT_FIX,23294.0,36,0.000069900,0.005269
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_CONT_FIX,28985.0,44,0.000084300,0.00696
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP_CONT_FIX,25895.0,38,0.000084800,0.005764
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP_CONT_FIX,26227.0,40,0.000083000,0.005107
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP_CONT_FIX,27859.0,42,0.000086900,0.0063
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP_CONT_FIX,27906.0,43,0.000105000,0.007704
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP_CONT_FIX,26908.0,39,0.000085600,0.007474
Instances/Instances 1/ch150_07.gt,149,100.0,86400.0,PTVRP_CONT_FIX,27804.0,43,0.000083800,0.005737
Instances/Instances 1/ch150_08.gt,149,100.0,86400.0,PTVRP_CONT_FIX,28592.0,37,0.000083100,0.007165
Instances/Instances 1/ch150_09.gt,149,100.0,86400.0,PTVRP_CONT_FIX,27636.0,40,0.000084700,0.006454
Instances/Instances 1/ch150_10.gt,149,100.0,86400.0,PTVRP_CONT_FIX,27526.0,39,0.000084900,0.006892
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,314697654.0,10228,0.024074002,0.080544
Instances/Instances 1/ch71009_02.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,315588574.0,10258,0.023725501,0.08209
Instances/Instances 1/ch71009_03.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,314780250.0,10214,0.024095401,0.0881
Instances/Instances 1/ch71009_04.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,315639950.0,10125,0.024040701,0.093333
Instances/Instances 1/ch71009_05.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,314888615.0,10301,0.023815001,0.080237
Instances/Instances 1/ch71009_06.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,315300472.0,10275,0.024161802,0.086585
Instances/Instances 1/ch71009_07.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,314970528.0,10305,0.024776801,0.082327
Instances/Instances 1/ch71009_08.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,315323807.0,10275,0.024003602,0.077281
Instances/Instances 1/ch71009_09.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,315388172.0,10267,0.023971401,0.08272
Instances/Instances 1/ch71009_10.gt,71008,100.0,86400.0,PTVRP_CONT_FIX,314275319.0,10190,0.025014201,0.081154
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,768417.0,261,0.000998200,0.011408
Instances/Instances 1/d1291_02.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,700857.0,247,0.001027800,0.009485
Instances/Instances 1/d1291_03.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,734697.0,249,0.001015100,0.009432
Instances/Instances 1/d1291_04.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,719650.0,257,0.001044700,0.009536
Instances/Instances 1/d1291_05.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,730335.0,243,0.001039500,0.00862
Instances/Instances 1/d1291_06.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,728389.0,249,0.001011800,0.009681
Instances/Instances 1/d1291_07.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,723980.0,256,0.001025200,0.008119
Instances/Instances 1/d1291_08.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,719374.0,266,0.001136800,0.008791
Instances/Instances 1/d1291_09.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,729990.0,254,0.001020900,0.008713
Instances/Instances 1/d1291_10.gt,1290,100.0,86400.0,PTVRP_CONT_FIX,722309.0,257,0.001014501,0.008972
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53788704.0,2388,0.005019401,0.022133
Instances/Instances 1/d15112_02.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,54066537.0,2465,0.005043400,0.026907
Instances/Instances 1/d15112_03.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53486510.0,2389,0.004981501,0.023544
Instances/Instances 1/d15112_04.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53894103.0,2382,0.005216600,0.023083
Instances/Instances 1/d15112_05.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53460057.0,2426,0.005022100,0.023429
