instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bier127_08.gt,126,100.0,86400.0,PTVRP_LAYERED,316399.0,36,1,0.0066,31,7,2,508,4.03175,,,,,,,,,,
Instances/Instances 1/bier127_09.gt,126,100.0,86400.0,PTVRP_LAYERED,333390.0,38,2,0.0065,33,7,2,527,4.18254,,,,,,,,,,
Instances/Instances 1/bier127_10.gt,126,100.0,86400.0,PTVRP_LAYERED,301119.0,34,1,0.006,30,7,2,490,3.88889,,,,,,,,,,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED,54311911.0,4710,7,0.0601,8589,30,9,439209,13.0302,,,,,,,,,,
Instances/Instances 1/bm33708_02.gt,33707,100.0,86400.0,PTVRP_LAYERED,54271357.0,4634,6,0.0556,8577,30,10,438872,13.0202,,,,,,,,,,
Instances/Instances 1/bm33708_03.gt,33707,100.0,86400.0,PTVRP_LAYERED,54459415.0,4689,7,0.0576,8593,30,9,438865,13.02,,,,,,,,,,
Instances/Instances 1/bm33708_04.gt,33707,100.0,86400.0,PTVRP_LAYERED,54391979.0,4686,8,0.0593,8580,30,9,438730,13.016,,,,,,,,,,
Instances/Instances 1/bm33708_05.gt,33707,100.0,86400.0,PTVRP_LAYERED,54489688.0,4652,9,0.0557,8576,30,10,438035,12.9954,,,,,,,,,,
Instances/Instances 1/bm33708_06.gt,33707,100.0,86400.0,PTVRP_LAYERED,54289141.0,4622,7,0.0545,8600,30,9,439259,13.0317,,,,,,,,,,
Instances/Instances 1/bm33708_07.gt,33707,100.0,86400.0,PTVRP_LAYERED,54596226.0,4584,7,0.056,8606,30,9,438590,13.0118,,,,,,,,,,
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP_LAYERED,54466943.0,4601,7,0.0557,8609,31,9,439058,13.0257,,,,,,,,,,
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP_LAYERED,54295177.0,4554,8,0.0535,8571,29,9,438630,13.013,,,,,,,,,,
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP_LAYERED,54086906.0,4551,7,0.0602,8552,31,9,438305,13.0034,,,,,,,,,,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED,16950869.0,2180,6,0.0266,3577,26,7,204092,14.5261,,,,,,,,,,
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_LAYERED,16799684.0,2138,6,0.0293,3554,26,9,203789,14.5046,,,,,,,,,,
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_LAYERED,16827003.0,2170,6,0.0282,3571,26,8,204218,14.5351,,,,,,,,,,
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_LAYERED,16930477.0,2162,8,0.0276,3579,26,8,204286,14.5399,,,,,,,,,,
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_LAYERED,16913156.0,2212,7,0.028,3586,27,8,204338,14.5436,,,,,,,,,,
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_LAYERED,16936254.0,2171,7,0.0269,3579,26,8,203985,14.5185,,,,,,,,,,
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_LAYERED,16950578.0,2187,7,0.0271,3596,26,8,204469,14.553,,,,,,,,,,
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_LAYERED,17140786.0,2199,6,0.0276,3616,26,10,204482,14.5539,,,,,,,,,,
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_LAYERED,16991877.0,2155,7,0.0281,3599,26,8,204433,14.5504,,,,,,,,,,
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_LAYERED,16864694.0,2162,6,0.0265,3565,26,9,203840,14.5082,,,,,,,,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,,0.0107,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,,0.0097,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_LAYERED,NO SOLUTION,,,0.0082,,,,,,,,,,,,,,,
