instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bier127_09.gt,126,100.0,86400.0,PTVRP_CONT_FIX,333390.0,38,2,0.0047,,,,,,0,,0,,,,,2165,1977,
Instances/Instances 1/bier127_10.gt,126,100.0,86400.0,PTVRP_CONT_FIX,301119.0,34,1,0.0054,,,,,,0,,0,,,,,2273,2101,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54311911.0,4710,7,0.0648,,,,,,1,,1,,,,,2426379,1735459,
Instances/Instances 1/bm33708_02.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54271357.0,4635,6,0.0651,,,,,,0,,0,,,,,2427032,1736848,
Instances/Instances 1/bm33708_03.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54459415.0,4690,7,0.0627,,,,,,0,,0,,,,,2426059,1736081,
Instances/Instances 1/bm33708_04.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54391979.0,4686,8,0.0637,,,,,,1,,1,,,,,2429349,1738441,
Instances/Instances 1/bm33708_05.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54489688.0,4652,9,0.0636,,,,,,1,,1,,,,,2430193,1739584,
Instances/Instances 1/bm33708_06.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54289141.0,4622,7,0.0647,,,,,,1,,1,,,,,2422247,1731581,
Instances/Instances 1/bm33708_07.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54596226.0,4586,7,0.0654,,,,,,1,,1,,,,,2423007,1733602,
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54466943.0,4603,7,0.0709,,,,,,1,,1,,,,,2422498,1731808,
