instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0024,2,2,1,177,1.40476,,0,0,486,0,,,,,
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0024,1,1,1,126,1.0,,0,0,874,0,,,,,
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0023,1,1,1,126,1.0,,0,0,874,0,,,,,
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0022,1,1,1,126,1.0,,0,0,874,0,,,,,
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0023,1,1,1,126,1.0,,0,0,874,0,,,,,
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,1,0.0024,1,1,1,126,1.0,,0,0,874,0,,,,,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_CONT,54311911.0,4710,7,6.3003,8589,8589,9,144336848,4282.1,,1,0,160687167,0,,,,,
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_LAYERED_CONT,27566313.0,3312,4,3.0402,4289,4289,6,72224096,2142.7,,1,0,82605053,0,,,,,
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_LAYERED_CONT,11486555.0,1720,2,1.2128,1719,1719,4,29021144,860.983,,0,0,33356537,0,,,,,
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_LAYERED_CONT,6132031.0,878,1,0.6199,858,858,3,14485450,429.746,,0,0,16558992,0,,,,,
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_LAYERED_CONT,3523882.0,437,1,0.3229,429,429,3,7236196,214.679,,0,0,8197989,0,,,,,
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_LAYERED_CONT,1962016.0,178,1,0.1525,172,172,2,2919333,86.6091,,0,0,3356360,0,,,,,
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_LAYERED_CONT,1448460.0,90,1,0.1164,87,87,1,1467792,43.5456,,0,0,1754783,0,,,,,
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_LAYERED_CONT,1194002.0,47,1,0.061,44,44,1,740046,21.9553,,0,0,945194,0,,,,,
