instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16387.0,72,2,0.0027,72,49,3,9114,32.6667,,0,0,138,0,0,0,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_SAFE,8816.0,36,2,0.0023,34,33,2,4983,17.8602,,0,0,0,0,0,0,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_LAYERED_SAFE,4897.0,15,1,0.0021,14,14,1,2159,7.73835,,0,0,0,0,0,0,
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_LAYERED_SAFE,3722.0,9,1,0.0018,8,8,1,1129,4.04659,,0,0,0,0,0,0,
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_LAYERED_SAFE,3176.0,4,1,0.0018,4,4,1,647,2.319,,0,0,0,0,0,0,
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_LAYERED_SAFE,2855.0,2,1,0.0017,2,2,1,368,1.319,,0,0,0,0,0,0,
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_LAYERED_SAFE,2835.0,1,1,0.0016,1,1,1,279,1.0,,0,0,0,0,0,0,
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_LAYERED_SAFE,2835.0,1,1,0.0017,1,1,1,279,1.0,,0,0,0,0,0,0,
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_SAFE,2835.0,1,1,0.0017,1,1,1,279,1.0,,0,0,0,0,0,0,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_SAFE,2835.0,1,1,0.0017,1,1,1,279,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28717346.0,1467,5,0.017,2331,22,7,95544,10.4408,,0,0,89403,0,0,0,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_SAFE,14570814.0,978,5,0.0141,1166,15,6,76122,8.31844,,0,0,96448,0,0,0,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_SAFE,6223523.0,476,2,0.0102,466,10,3,53919,5.89214,,0,0,80094,0,0,0,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_SAFE,3468503.0,239,2,0.0086,233,7,2,40490,4.42465,,0,0,56245,0,0,0,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_SAFE,2131437.0,123,1,0.008,118,5,1,29585,3.23298,,0,0,41757,0,0,0,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_SAFE,1329482.0,51,1,0.0069,47,3,1,19246,2.10316,,0,0,13602,0,0,0,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_SAFE,1090437.0,27,1,0.0071,24,2,1,15008,1.64004,,0,0,20323,0,0,0,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_SAFE,986552.0,15,1,0.0057,12,1,1,9151,1.0,,0,0,17616,0,0,0,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_SAFE,970633.0,13,1,0.0065,5,1,1,9151,1.0,,0,0,31982,0,0,0,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_SAFE,970633.0,13,1,0.0061,3,1,1,9151,1.0,,0,0,31982,0,0,0,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,14644.0,14,1,0.0016,12,11,1,343,6.72549,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED_SAFE,11269.0,8,1,0.0017,7,7,1,204,4.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED_SAFE,8619.0,4,1,0.0016,3,3,1,95,1.86275,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_LAYERED_SAFE,7852.0,2,1,0.0015,2,2,1,67,1.31373,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0014,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0016,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_LAYERED_SAFE,7803.0,1,1,0.0015,1,1,1,51,1.0,,0,0,0,0,0,0,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328886.0,35,2,0.0016,31,7,2,557,4.42063,,0,0,89,0,0,0,
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_LAYERED_SAFE,214093.0,20,1,0.0016,18,5,1,387,3.07143,,0,0,36,0,0,0,
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_LAYERED_SAFE,147478.0,8,1,0.0016,7,3,1,252,2.0,,0,0,59,0,0,0,
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_LAYERED_SAFE,129773.0,4,1,0.0017,4,2,1,155,1.23016,,0,0,15,0,0,0,
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0016,2,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0017,1,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0016,1,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0015,1,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0015,1,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_LAYERED_SAFE,126048.0,2,1,0.0015,1,1,1,126,1.0,,0,0,86,0,0,0,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54311911.0,4710,7,0.0664,8589,32,9,616639,18.2941,,1,0,525803,0,0,0,
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_LAYERED_SAFE,27566313.0,3312,4,0.0548,4289,23,6,487873,14.4739,,1,0,544915,0,0,0,
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_LAYERED_SAFE,11486555.0,1720,2,0.0418,1719,14,4,343906,10.2028,,0,0,369131,0,0,0,
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_LAYERED_SAFE,6132031.0,878,1,0.0341,858,10,3,257359,7.63518,,0,0,206704,0,0,0,
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_LAYERED_SAFE,3523882.0,437,1,0.0276,429,7,3,189070,5.60922,,0,0,111970,0,0,0,
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_LAYERED_SAFE,1962016.0,178,1,0.0236,172,4,2,125154,3.713,,0,0,48035,0,0,0,
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_LAYERED_SAFE,1448460.0,90,1,0.0209,87,3,1,92824,2.75385,,0,0,16054,0,0,0,
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_LAYERED_SAFE,1194002.0,47,1,0.0202,44,2,1,66639,1.97701,,0,0,6833,0,0,0,
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,PTVRP_LAYERED_SAFE,1051830.0,20,1,0.018,18,1,1,33707,1.0,,0,0,0,0,0,0,
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,PTVRP_LAYERED_SAFE,1025973.0,15,1,0.0191,9,1,1,33707,1.0,,0,0,138009,0,0,0,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16950869.0,2180,6,0.0325,3577,30,7,268092,19.0813,,0,0,173624,0,0,0,
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_SAFE,8596446.0,1486,4,0.0272,1777,22,6,205848,14.6511,,0,0,151613,0,0,0,
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_SAFE,3646827.0,737,2,0.0202,715,15,3,140425,9.99466,,0,0,78307,0,0,0,
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_SAFE,2040540.0,368,1,0.0159,358,10,2,103547,7.36989,,0,0,43381,0,0,0,
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_SAFE,1236617.0,184,1,0.0132,180,7,1,74978,5.33651,,0,0,25588,0,0,0,
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_SAFE,768899.0,76,1,0.0105,72,4,1,46317,3.29658,,0,0,2387,0,0,0,
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_SAFE,613871.0,40,1,0.0096,36,3,1,33383,2.37601,,0,0,5030,0,0,0,
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_SAFE,535568.0,20,1,0.0087,19,2,1,27341,1.94598,,0,0,0,0,0,0,
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_SAFE,494413.0,9,1,0.0075,8,1,1,14050,1.0,,0,0,0,0,0,0,
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_SAFE,487545.0,7,1,0.0083,4,1,1,14050,1.0,,0,0,24890,0,0,0,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0049,1182,9,3,16388,3.51523,,0,0,12786,0,0,0,
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0043,592,7,3,14590,3.12956,,0,0,19432,0,0,0,
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0042,239,5,2,11781,2.52703,,0,0,32114,0,0,0,
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0043,119,3,2,9900,2.12355,,0,0,40290,0,0,0,
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.004,59,3,2,7751,1.66259,,0,0,31242,0,0,0,
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0038,24,2,1,5233,1.12248,,0,0,21036,0,0,0,
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0038,12,1,1,4662,1.0,,0,0,83800,0,0,0,
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0039,6,1,1,4662,1.0,,0,0,116358,0,0,0,
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0038,3,1,1,4662,1.0,,0,0,116358,0,0,0,
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0037,2,1,1,4662,1.0,,0,0,116358,0,0,0,
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23377.0,36,2,0.0018,33,22,2,1872,14.5116,,0,0,39,0,0,0,
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,PTVRP_LAYERED_SAFE,14025.0,20,1,0.0017,17,15,1,1130,8.75969,,0,0,11,0,0,0,
Instances/Instances 1/ch130_03.gt,129,500.0,86400.0,PTVRP_LAYERED_SAFE,9031.0,8,1,0.0016,7,7,1,472,3.65891,,0,0,0,0,0,0,
Instances/Instances 1/ch130_04.gt,129,1000.0,86400.0,PTVRP_LAYERED_SAFE,7424.0,5,1,0.0019,4,4,1,311,2.41085,,0,0,0,0,0,0,
Instances/Instances 1/ch130_05.gt,129,2000.0,86400.0,PTVRP_LAYERED_SAFE,6533.0,2,1,0.0017,2,2,1,175,1.35659,,0,0,0,0,0,0,
Instances/Instances 1/ch130_06.gt,129,5000.0,86400.0,PTVRP_LAYERED_SAFE,6291.0,1,1,0.0016,1,1,1,129,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch130_07.gt,129,10000.0,86400.0,PTVRP_LAYERED_SAFE,6291.0,1,1,0.0017,1,1,1,129,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch130_08.gt,129,20000.0,86400.0,PTVRP_LAYERED_SAFE,6291.0,1,1,0.0016,1,1,1,129,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch130_09.gt,129,50000.0,86400.0,PTVRP_LAYERED_SAFE,6291.0,1,1,0.0016,1,1,1,129,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch130_10.gt,129,100000.0,86400.0,PTVRP_LAYERED_SAFE,6291.0,1,1,0.0016,1,1,1,129,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,28985.0,44,2,0.0023,41,23,2,2433,16.3289,,0,0,83,0,0,0,
Instances/Instances 1/ch150_02.gt,149,200.0,86400.0,PTVRP_LAYERED_SAFE,15615.0,21,1,0.0017,18,15,1,1333,8.94631,,0,0,25,0,0,0,
Instances/Instances 1/ch150_03.gt,149,500.0,86400.0,PTVRP_LAYERED_SAFE,9611.0,9,1,0.0017,8,8,1,623,4.18121,,0,0,0,0,0,0,
Instances/Instances 1/ch150_04.gt,149,1000.0,86400.0,PTVRP_LAYERED_SAFE,8060.0,5,1,0.0016,4,4,1,371,2.48993,,0,0,0,0,0,0,
Instances/Instances 1/ch150_05.gt,149,2000.0,86400.0,PTVRP_LAYERED_SAFE,7467.0,3,1,0.0015,3,3,1,226,1.51678,,0,0,0,0,0,0,
Instances/Instances 1/ch150_06.gt,149,5000.0,86400.0,PTVRP_LAYERED_SAFE,7281.0,1,1,0.0016,1,1,1,149,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch150_07.gt,149,10000.0,86400.0,PTVRP_LAYERED_SAFE,7281.0,1,1,0.0016,1,1,1,149,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch150_08.gt,149,20000.0,86400.0,PTVRP_LAYERED_SAFE,7281.0,1,1,0.0017,1,1,1,149,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch150_09.gt,149,50000.0,86400.0,PTVRP_LAYERED_SAFE,7281.0,1,1,0.0016,1,1,1,149,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch150_10.gt,149,100000.0,86400.0,PTVRP_LAYERED_SAFE,7281.0,1,1,0.0017,1,1,1,149,1.0,,0,0,0,0,0,0,
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314697654.0,10228,6,0.1064,18082,22,8,686158,9.66311,,0,0,869937,0,0,0,
Instances/Instances 1/ch71009_02.gt,71008,200.0,86400.0,PTVRP_LAYERED_SAFE,157714607.0,6667,5,0.0929,9046,17,6,582177,8.19875,,0,0,1168005,0,0,0,
Instances/Instances 1/ch71009_03.gt,71008,500.0,86400.0,PTVRP_LAYERED_SAFE,64684308.0,3536,3,0.074,3618,11,4,444326,6.25741,,1,0,1224112,0,0,0,
Instances/Instances 1/ch71009_04.gt,71008,1000.0,86400.0,PTVRP_LAYERED_SAFE,34256373.0,1837,2,0.061,1809,8,3,348950,4.91424,,0,0,954074,0,0,0,
Instances/Instances 1/ch71009_05.gt,71008,2000.0,86400.0,PTVRP_LAYERED_SAFE,19367843.0,923,1,0.0527,906,6,2,266381,3.75142,,0,0,774259,0,0,0,
Instances/Instances 1/ch71009_06.gt,71008,5000.0,86400.0,PTVRP_LAYERED_SAFE,10872483.0,375,1,0.0432,362,4,2,180895,2.54753,,0,0,416939,0,0,0,
Instances/Instances 1/ch71009_07.gt,71008,10000.0,86400.0,PTVRP_LAYERED_SAFE,8261810.0,204,1,0.0396,181,3,1,138102,1.94488,,0,0,407144,0,0,0,
Instances/Instances 1/ch71009_08.gt,71008,20000.0,86400.0,PTVRP_LAYERED_SAFE,7108473.0,120,1,0.0368,91,2,1,98966,1.39373,,0,0,294447,0,0,0,
Instances/Instances 1/ch71009_09.gt,71008,50000.0,86400.0,PTVRP_LAYERED_SAFE,6671779.0,84,1,0.0398,37,1,1,71008,1.0,,1,1,655207,0,0,0,
Instances/Instances 1/ch71009_10.gt,71008,100000.0,86400.0,PTVRP_LAYERED_SAFE,6650715.0,82,1,0.0413,19,1,1,71008,1.0,,1,1,874242,0,0,0,
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,768417.0,261,5,0.0049,346,27,5,27534,21.3442,,0,0,7093,0,0,0,
Instances/Instances 1/d1291_02.gt,1290,200.0,86400.0,PTVRP_LAYERED_SAFE,367546.0,158,3,0.0043,159,19,3,19024,14.7473,,0,0,4151,0,0,0,
Instances/Instances 1/d1291_03.gt,1290,500.0,86400.0,PTVRP_LAYERED_SAFE,178154.0,70,1,0.0034,67,12,2,12358,9.57984,,0,0,2261,0,0,0,
Instances/Instances 1/d1291_04.gt,1290,1000.0,86400.0,PTVRP_LAYERED_SAFE,110025.0,35,1,0.0032,33,8,1,8630,6.68992,,0,0,1992,0,0,0,
Instances/Instances 1/d1291_05.gt,1290,2000.0,86400.0,PTVRP_LAYERED_SAFE,78610.0,18,1,0.0026,17,6,1,5844,4.53023,,0,0,871,0,0,0,
Instances/Instances 1/d1291_06.gt,1290,5000.0,86400.0,PTVRP_LAYERED_SAFE,61167.0,8,1,0.0024,7,4,1,3425,2.65504,,0,0,392,0,0,0,
Instances/Instances 1/d1291_07.gt,1290,10000.0,86400.0,PTVRP_LAYERED_SAFE,56230.0,5,1,0.0023,4,2,1,2182,1.69147,,0,0,0,0,0,0,
Instances/Instances 1/d1291_08.gt,1290,20000.0,86400.0,PTVRP_LAYERED_SAFE,53710.0,2,1,0.0024,2,2,1,1808,1.40155,,0,0,0,0,0,0,
Instances/Instances 1/d1291_09.gt,1290,50000.0,86400.0,PTVRP_LAYERED_SAFE,53688.0,1,1,0.0023,1,1,1,1290,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d1291_10.gt,1290,100000.0,86400.0,PTVRP_LAYERED_SAFE,53688.0,1,1,0.0024,1,1,1,1290,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53788704.0,2388,5,0.0244,3841,17,6,135457,8.96413,,0,0,134730,0,0,0,
Instances/Instances 1/d15112_02.gt,15111,200.0,86400.0,PTVRP_LAYERED_SAFE,27647861.0,1647,4,0.02,1939,13,5,109720,7.26094,,0,0,151588,0,0,0,
Instances/Instances 1/d15112_03.gt,15111,500.0,86400.0,PTVRP_LAYERED_SAFE,11626925.0,784,2,0.015,767,8,3,78307,5.18212,,0,0,112541,0,0,0,
Instances/Instances 1/d15112_04.gt,15111,1000.0,86400.0,PTVRP_LAYERED_SAFE,6549550.0,399,1,0.014,386,6,2,59639,3.94673,,0,0,86344,0,0,0,
Instances/Instances 1/d15112_05.gt,15111,2000.0,86400.0,PTVRP_LAYERED_SAFE,3986206.0,197,1,0.0119,192,4,1,44612,2.95229,,0,0,49759,0,0,0,
Instances/Instances 1/d15112_06.gt,15111,5000.0,86400.0,PTVRP_LAYERED_SAFE,2517833.0,82,1,0.0092,78,3,1,30032,1.98743,,0,0,37294,0,0,0,
Instances/Instances 1/d15112_07.gt,15111,10000.0,86400.0,PTVRP_LAYERED_SAFE,2016391.0,41,1,0.0087,39,2,1,20799,1.37641,,0,0,10705,0,0,0,
Instances/Instances 1/d15112_08.gt,15111,20000.0,86400.0,PTVRP_LAYERED_SAFE,1832536.0,24,1,0.0082,20,1,1,15111,1.0,,0,0,64869,0,0,0,
Instances/Instances 1/d15112_09.gt,15111,50000.0,86400.0,PTVRP_LAYERED_SAFE,1819674.0,24,1,0.0083,8,1,1,15111,1.0,,0,0,91309,0,0,0,
Instances/Instances 1/d15112_10.gt,15111,100000.0,86400.0,PTVRP_LAYERED_SAFE,1819674.0,24,1,0.0083,4,1,1,15111,1.0,,0,0,91309,0,0,0,
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,920931.0,323,4,0.005,419,26,6,34932,21.1197,,0,0,8585,0,0,0,
Instances/Instances 1/d1655_02.gt,1654,200.0,86400.0,PTVRP_LAYERED_SAFE,497810.0,213,2,0.0044,215,19,3,25653,15.5097,,0,0,5466,0,0,0,
Instances/Instances 1/d1655_03.gt,1654,500.0,86400.0,PTVRP_LAYERED_SAFE,221226.0,87,1,0.0037,84,11,2,16235,9.8156,,0,0,2387,0,0,0,
Instances/Instances 1/d1655_04.gt,1654,1000.0,86400.0,PTVRP_LAYERED_SAFE,139737.0,45,1,0.0028,42,8,1,11443,6.91838,,0,0,1136,0,0,0,
Instances/Instances 1/d1655_05.gt,1654,2000.0,86400.0,PTVRP_LAYERED_SAFE,97963.0,24,1,0.0026,22,6,1,7915,4.78537,,0,0,824,0,0,0,
Instances/Instances 1/d1655_06.gt,1654,5000.0,86400.0,PTVRP_LAYERED_SAFE,74780.0,11,1,0.0024,9,4,1,4589,2.77449,,0,0,384,0,0,0,
Instances/Instances 1/d1655_07.gt,1654,10000.0,86400.0,PTVRP_LAYERED_SAFE,67599.0,5,1,0.0029,5,3,1,3313,2.00302,,0,0,684,0,0,0,
Instances/Instances 1/d1655_08.gt,1654,20000.0,86400.0,PTVRP_LAYERED_SAFE,66176.0,3,1,0.0023,3,2,1,2527,1.52781,,0,0,0,0,0,0,
Instances/Instances 1/d1655_09.gt,1654,50000.0,86400.0,PTVRP_LAYERED_SAFE,65597.0,1,1,0.0024,1,1,1,1654,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d1655_10.gt,1654,100000.0,86400.0,PTVRP_LAYERED_SAFE,65597.0,1,1,0.0025,1,1,1,1654,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_LAYERED_SAFE,24130075.0,2865,6,0.0373,4740,27,8,337471,18.2308,,1,0,242574,0,0,0,
Instances/Instances 1/d18512_02.gt,18511,200.0,86400.0,PTVRP_LAYERED_SAFE,12188367.0,1995,3,0.0305,2347,20,5,260595,14.0778,,0,0,214216,0,0,0,
Instances/Instances 1/d18512_03.gt,18511,500.0,86400.0,PTVRP_LAYERED_SAFE,5222711.0,960,2,0.0232,947,13,3,179509,9.69742,,0,0,118105,0,0,0,
Instances/Instances 1/d18512_04.gt,18511,1000.0,86400.0,PTVRP_LAYERED_SAFE,2876916.0,483,1,0.0192,472,9,2,132214,7.14246,,0,0,57156,0,0,0,
Instances/Instances 1/d18512_05.gt,18511,2000.0,86400.0,PTVRP_LAYERED_SAFE,1743333.0,242,1,0.0155,237,7,1,95826,5.17671,,0,0,27830,0,0,0,
Instances/Instances 1/d18512_06.gt,18511,5000.0,86400.0,PTVRP_LAYERED_SAFE,1070282.0,99,1,0.0134,95,4,1,60633,3.27551,,0,0,6020,0,0,0,
Instances/Instances 1/d18512_07.gt,18511,10000.0,86400.0,PTVRP_LAYERED_SAFE,848838.0,51,1,0.012,47,3,1,42567,2.29955,,0,0,6781,0,0,0,
Instances/Instances 1/d18512_08.gt,18511,20000.0,86400.0,PTVRP_LAYERED_SAFE,741916.0,26,1,0.0109,24,2,1,36245,1.95802,,0,0,31,0,0,0,
Instances/Instances 1/d18512_09.gt,18511,50000.0,86400.0,PTVRP_LAYERED_SAFE,677542.0,11,1,0.0095,10,1,1,18511,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d18512_10.gt,18511,100000.0,86400.0,PTVRP_LAYERED_SAFE,672457.0,9,1,0.0107,5,1,1,18511,1.0,,0,0,41318,0,0,0,
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_LAYERED_SAFE,87758.0,48,2,0.0022,53,22,3,2764,14.0305,,0,0,209,0,0,0,
Instances/Instances 1/d198_02.gt,197,200.0,86400.0,PTVRP_LAYERED_SAFE,50344.0,28,1,0.0021,26,14,3,1826,9.26904,,0,0,139,0,0,0,
Instances/Instances 1/d198_03.gt,197,500.0,86400.0,PTVRP_LAYERED_SAFE,28510.0,12,1,0.0021,11,8,1,1019,5.17259,,0,0,14,0,0,0,
Instances/Instances 1/d198_04.gt,197,1000.0,86400.0,PTVRP_LAYERED_SAFE,20609.0,6,1,0.0019,6,6,1,601,3.05076,,0,0,4,0,0,0,
Instances/Instances 1/d198_05.gt,197,2000.0,86400.0,PTVRP_LAYERED_SAFE,17770.0,3,1,0.0019,3,3,1,369,1.8731,,0,0,0,0,0,0,
Instances/Instances 1/d198_06.gt,197,5000.0,86400.0,PTVRP_LAYERED_SAFE,17527.0,1,1,0.0018,1,1,1,197,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d198_07.gt,197,10000.0,86400.0,PTVRP_LAYERED_SAFE,17527.0,1,1,0.0018,1,1,1,197,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d198_08.gt,197,20000.0,86400.0,PTVRP_LAYERED_SAFE,17527.0,1,1,0.0017,1,1,1,197,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d198_09.gt,197,50000.0,86400.0,PTVRP_LAYERED_SAFE,17527.0,1,1,0.0017,1,1,1,197,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d198_10.gt,197,100000.0,86400.0,PTVRP_LAYERED_SAFE,17527.0,1,1,0.0016,1,1,1,197,1.0,,0,0,0,0,0,0,
Instances/Instances 1/d2103_01.gt,2102,100.0,86400.0,PTVRP_LAYERED_SAFE,1406040.0,385,4,0.0066,545,27,6,43223,20.5628,,0,0,12624,0,0,0,
Instances/Instances 1/d2103_02.gt,2102,200.0,86400.0,PTVRP_LAYERED_SAFE,723617.0,262,2,0.0055,270,19,3,31679,15.0709,,0,0,9922,0,0,0,
