instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bier127_04.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,338897.0,34,2,0.0068,32,7,2,557,4.42063,,0,0,95,0,0,0,,,
Instances/Instances 1/bier127_05.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328505.0,38,1,0.0073,33,7,2,568,4.50794,,0,0,82,0,0,0,,,
Instances/Instances 1/bier127_06.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,327452.0,38,2,0.0069,33,8,2,575,4.56349,,0,0,87,0,0,0,,,
Instances/Instances 1/bier127_07.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,325803.0,37,2,0.0071,31,7,2,559,4.43651,,0,0,76,0,0,0,,,
Instances/Instances 1/bier127_08.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,316399.0,36,1,0.0072,31,7,2,568,4.50794,,0,0,102,0,0,0,,,
Instances/Instances 1/bier127_09.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,333390.0,38,2,0.0071,33,8,2,581,4.61111,,0,0,95,0,0,0,,,
Instances/Instances 1/bier127_10.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,301119.0,34,1,0.0082,30,7,2,526,4.1746,,0,0,66,0,0,0,,,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54311911.0,4710,7,0.0758,8589,32,9,616639,18.2941,,1,0,525803,0,0,0,,,
Instances/Instances 1/bm33708_02.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54271357.0,4634,6,0.0706,8577,32,10,616348,18.2855,,0,0,526678,0,0,0,,,
Instances/Instances 1/bm33708_03.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54459415.0,4689,7,0.0687,8593,31,9,616238,18.2822,,0,0,524934,0,0,0,,,
Instances/Instances 1/bm33708_04.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54391979.0,4686,8,0.067,8580,32,9,616222,18.2817,,0,0,525883,0,0,0,,,
Instances/Instances 1/bm33708_05.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54489688.0,4652,9,0.074,8576,32,10,615553,18.2619,,0,0,527592,0,0,0,,,
Instances/Instances 1/bm33708_06.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54289141.0,4622,7,0.0697,8600,32,9,617225,18.3115,,1,0,528224,0,0,0,,,
Instances/Instances 1/bm33708_07.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54596226.0,4584,7,0.0794,8606,32,9,616390,18.2867,,1,0,526800,0,0,0,,,
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54466943.0,4601,7,0.069,8609,32,9,617075,18.307,,1,0,525628,0,0,0,,,
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54295177.0,4554,8,0.07,8571,32,9,615852,18.2707,,1,0,525191,0,0,0,,,
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP_LAYERED_SAFE,54086906.0,4551,7,0.0686,8552,31,9,615693,18.266,,0,0,525921,0,0,0,,,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16950869.0,2180,6,0.0324,3577,30,7,268092,19.0813,,0,0,173624,0,0,0,,,
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16799684.0,2138,6,0.0372,3554,30,9,267596,19.046,,0,0,173373,0,0,0,,,
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16827003.0,2170,6,0.0423,3571,30,8,268319,19.0974,,1,0,173077,0,0,0,,,
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16930477.0,2162,8,0.0344,3579,30,8,268382,19.1019,,0,0,173046,0,0,0,,,
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16913156.0,2212,7,0.0304,3586,30,8,268600,19.1174,,1,0,175048,0,0,0,,,
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16936254.0,2171,7,0.031,3579,29,8,268200,19.089,,1,0,173012,0,0,0,,,
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16950578.0,2187,7,0.0322,3596,30,8,268870,19.1367,,1,0,173510,0,0,0,,,
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,17140786.0,2199,6,0.0322,3616,30,10,268849,19.1352,,0,0,174408,0,0,0,,,
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16991877.0,2155,7,0.032,3599,30,8,268993,19.1454,,1,0,174397,0,0,0,,,
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_LAYERED_SAFE,16864694.0,2162,6,0.0303,3565,30,9,267972,19.0727,,0,0,173222,0,0,0,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0096,1182,9,3,16388,3.51523,,0,0,12786,0,0,0,,,
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0099,1184,10,4,16516,3.54269,,0,0,12766,0,0,0,,,
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0086,1193,9,3,16448,3.5281,,0,0,12686,0,0,0,,,
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0114,1188,9,4,16469,3.5326,,0,0,12866,0,0,0,,,
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0093,1180,9,3,16452,3.52896,,0,0,12646,0,0,0,,,
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.009,1177,9,3,16468,3.53239,,0,0,12861,0,0,0,,,
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.01,1186,8,3,16440,3.52638,,0,0,12614,0,0,0,,,
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0102,1185,10,4,16437,3.52574,,0,0,13002,0,0,0,,,
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0084,1183,9,4,16474,3.53368,,0,0,12867,0,0,0,,,
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,,0.0083,1179,9,3,16385,3.51459,,0,0,12741,0,0,0,,,
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23377.0,36,2,0.0055,33,22,2,1872,14.5116,,0,0,39,0,0,0,,,
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,24193.0,34,2,0.0072,34,22,3,1901,14.7364,,0,0,52,0,0,0,,,
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23296.0,33,2,0.0049,33,22,2,1804,13.9845,,0,0,31,0,0,0,,,
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,25835.0,36,2,0.0052,35,23,2,2068,16.031,,0,0,52,0,0,0,,,
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,22889.0,37,2,0.005,32,21,2,1846,14.3101,,0,0,48,0,0,0,,,
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,22600.0,35,2,0.0051,32,21,2,1821,14.1163,,0,0,30,0,0,0,,,
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23255.0,35,2,0.0054,32,21,2,1834,14.2171,,0,0,41,0,0,0,,,
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,25154.0,37,2,0.0045,35,22,2,1973,15.2946,,0,0,39,0,0,0,,,
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23844.0,33,2,0.0048,32,21,2,1781,13.8062,,0,0,51,0,0,0,,,
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23294.0,36,2,0.0055,33,21,2,1822,14.124,,0,0,39,0,0,0,,,
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,28985.0,44,2,0.0055,41,23,2,2433,16.3289,,0,0,83,0,0,0,,,
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,25895.0,38,2,0.0054,35,21,2,2213,14.8523,,0,0,55,0,0,0,,,
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,26227.0,40,2,0.007,37,22,2,2281,15.3087,,0,0,60,0,0,0,,,
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,27859.0,42,2,0.0045,38,23,3,2406,16.1477,,0,0,95,0,0,0,,,
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,27906.0,43,2,0.0047,41,22,2,2439,16.3691,,0,0,67,0,0,0,,,
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,26908.0,39,2,0.005,37,23,2,2353,15.7919,,0,0,79,0,0,0,,,
Instances/Instances 1/ch150_07.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,27804.0,43,2,0.0046,39,23,3,2404,16.1342,,0,0,75,0,0,0,,,
Instances/Instances 1/ch150_08.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,28592.0,37,2,0.0047,39,24,2,2303,15.4564,,0,0,62,0,0,0,,,
Instances/Instances 1/ch150_09.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,27636.0,40,2,0.0066,38,22,3,2351,15.7785,,0,0,50,0,0,0,,,
Instances/Instances 1/ch150_10.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,27526.0,39,2,0.0052,38,22,3,2362,15.8523,,0,0,72,0,0,0,,,
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314697654.0,10228,6,0.1138,18082,22,8,686158,9.66311,,0,0,869937,0,0,0,,,
Instances/Instances 1/ch71009_02.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,315588574.0,10256,8,0.111,18092,23,8,685651,9.65597,,0,0,867637,0,0,0,,,
Instances/Instances 1/ch71009_03.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314780250.0,10214,6,0.1134,18086,23,8,686112,9.66246,,0,0,874715,0,0,0,,,
Instances/Instances 1/ch71009_04.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,315639950.0,10125,7,0.1141,18088,23,8,686146,9.66294,,1,0,874805,0,0,0,,,
Instances/Instances 1/ch71009_05.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314888615.0,10301,6,0.1153,18114,23,8,686738,9.67128,,1,0,872387,0,0,0,,,
Instances/Instances 1/ch71009_06.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,315300472.0,10275,7,0.1121,18084,23,8,686026,9.66125,,2,0,871155,0,0,0,,,
Instances/Instances 1/ch71009_07.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314970528.0,10304,6,0.1187,18081,22,7,686170,9.66328,,1,0,870910,0,0,0,,,
Instances/Instances 1/ch71009_08.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,315323807.0,10275,7,0.1191,18104,23,8,685948,9.66015,,0,0,868742,0,0,0,,,
Instances/Instances 1/ch71009_09.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,315388172.0,10266,6,0.1108,18105,22,8,686266,9.66463,,0,0,873518,0,0,0,,,
Instances/Instances 1/ch71009_10.gt,71008,100.0,86400.0,PTVRP_LAYERED_SAFE,314275319.0,10190,7,0.1308,18076,23,8,686787,9.67197,,0,0,873953,0,0,0,,,
