instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,gap_vs_first
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_CONT_FIX,2835.0,1,1,0.0019,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED,2835.0,1,1,0.0017,1,1,1,279,1.0,,,,,,0.0
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0017,1,1,1,279,1.0,,0,0,0,0,0.0
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP,2835.0,1,1,0.0019,,,,,,,,,,,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_CONT,2835.0,1,1,0.0019,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_CONT_FIX,2835.0,1,1,0.0019,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED,2835.0,1,1,0.002,1,1,1,279,1.0,,,,,,0.0
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0017,1,1,1,279,1.0,,0,0,0,0,0.0
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP,28717346.0,1467,5,0.0145,,,,,,,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT,28717346.0,1467,5,0.2148,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28717346.0,1467,5,0.0145,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED,28717346.0,1467,5,0.0137,2331,18,7,66003,7.21265,,,,,,0.0
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,28717346.0,1467,5,0.0157,2331,22,7,95544,10.4408,,0,0,89403,0,0.0
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP,14570814.0,978,5,0.0125,,,,,,,,,,,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_CONT,14570814.0,978,5,0.2122,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_CONT_FIX,14570814.0,978,5,0.0156,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED,14570814.0,978,5,0.0117,1166,13,6,56291,6.15135,,,,,,0.0
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,14570814.0,978,5,0.0147,1166,15,6,76122,8.31844,,0,0,96448,0,0.0
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP,6223523.0,476,2,0.0145,,,,,,,,,,,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_CONT,6223523.0,476,2,0.2135,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_CONT_FIX,6223523.0,476,2,0.0159,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED,6223523.0,476,2,0.0091,466,9,3,42945,4.69293,,,,,,0.0
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,6223523.0,476,2,0.0106,466,10,3,53919,5.89214,,0,0,80094,0,0.0
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP,3468503.0,239,2,0.0148,,,,,,,,,,,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_CONT,3468503.0,239,2,0.2127,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_CONT_FIX,3468503.0,239,2,0.0171,,,,,,0,,0,,,0.0
