instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bm33708_07.gt,33707,100.0,86400.0,PTVRP,54596226.0,4586,7,0.0548,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP,54466943.0,4603,7,0.0526,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP,54295177.0,4554,8,0.0551,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP,54086906.0,4551,7,0.0575,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP,16950869.0,2180,6,0.0281,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP,16799684.0,2138,6,0.0286,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP,16827003.0,2170,6,0.0284,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP,16930477.0,2162,8,0.0263,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP,16913156.0,2212,7,0.028,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP,16936254.0,2171,7,0.0283,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP,16950578.0,2187,7,0.026,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP,17140786.0,2199,6,0.0266,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP,16991877.0,2157,7,0.0261,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP,16864694.0,2161,6,0.0272,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0077,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0085,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0083,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0103,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0089,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0077,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0075,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0077,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0078,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP,NO SOLUTION,,,0.0092,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP,23377.0,36,2,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP,24193.0,34,2,0.0066,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP,23296.0,33,2,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP,25835.0,36,2,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP,22889.0,37,2,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP,22600.0,35,2,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP,23255.0,35,2,0.0061,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP,25154.0,37,2,0.0057,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP,23844.0,33,2,0.0083,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP,23294.0,36,2,0.0053,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP,28985.0,44,2,0.0056,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP,25895.0,38,2,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP,26227.0,40,2,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP,27859.0,42,2,0.0055,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP,27906.0,43,2,0.0048,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP,26908.0,39,2,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_07.gt,149,100.0,86400.0,PTVRP,27804.0,43,2,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_08.gt,149,100.0,86400.0,PTVRP,28592.0,37,2,0.0052,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_09.gt,149,100.0,86400.0,PTVRP,27636.0,40,2,0.0061,,,,,,,,,,,,,,,
Instances/Instances 1/ch150_10.gt,149,100.0,86400.0,PTVRP,27526.0,39,2,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP,314697654.0,10228,6,0.0921,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_02.gt,71008,100.0,86400.0,PTVRP,315588574.0,10258,8,0.0908,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_03.gt,71008,100.0,86400.0,PTVRP,314780250.0,10214,6,0.0916,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_04.gt,71008,100.0,86400.0,PTVRP,315639950.0,10125,7,0.0932,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_05.gt,71008,100.0,86400.0,PTVRP,314888615.0,10301,6,0.0944,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_06.gt,71008,100.0,86400.0,PTVRP,315300472.0,10275,7,0.0928,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_07.gt,71008,100.0,86400.0,PTVRP,314970528.0,10305,6,0.0912,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_08.gt,71008,100.0,86400.0,PTVRP,315323807.0,10275,7,0.0985,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_09.gt,71008,100.0,86400.0,PTVRP,315388172.0,10267,6,0.0961,,,,,,,,,,,,,,,
Instances/Instances 1/ch71009_10.gt,71008,100.0,86400.0,PTVRP,314275319.0,10190,7,0.0935,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP,768417.0,261,5,0.0068,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_02.gt,1290,100.0,86400.0,PTVRP,700857.0,247,3,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_03.gt,1290,100.0,86400.0,PTVRP,734697.0,249,5,0.0085,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_04.gt,1290,100.0,86400.0,PTVRP,719650.0,257,3,0.0071,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_05.gt,1290,100.0,86400.0,PTVRP,730335.0,243,4,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_06.gt,1290,100.0,86400.0,PTVRP,728389.0,249,5,0.0073,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_07.gt,1290,100.0,86400.0,PTVRP,723980.0,256,5,0.009,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_08.gt,1290,100.0,86400.0,PTVRP,719374.0,266,4,0.0071,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_09.gt,1290,100.0,86400.0,PTVRP,729990.0,254,4,0.0065,,,,,,,,,,,,,,,
Instances/Instances 1/d1291_10.gt,1290,100.0,86400.0,PTVRP,722309.0,257,4,0.0079,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP,53788704.0,2388,5,0.0228,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_02.gt,15111,100.0,86400.0,PTVRP,54066537.0,2465,5,0.0235,,,,,,,,,,,,,,,
